,Unnamed: 0,tmdbId,title,genres,clean_overview
0,0,150540,Inside Out,Adventure|Animation|Children|Comedy|Drama|Fantasy,adventurous balloon ride cloud metropolis academy director pete docter monster taken audience unique imaginative place disney pixar original movie inside take u extraordinary location mind
8,8,177572,Big Hero 6,Action|Animation|Comedy,special bond develops inflatable robot baymax prodigy hiro hamada team group friend form band hero
18,18,308266,War Dogs,Comedy,based true story two young men david packouz efraim diveroli 300 million contract pentagon arm america ally afghanistan
19,19,212778,Chef,Comedy,chef carl casper suddenly quits job prominent los angeles restaurant refusing compromise creative integrity controlling owner left figure next finding miami team friend son launch food truck taking road chef carl go back root reignite passion kitchen zest life love
27,27,295699,Everybody Wants Some!!,Comedy,comedy follows group friend navigate way freedom responsibility unsupervised adulthood
29,29,260514,Cars 3,Adventure|Animation|Comedy,blindsided new generation racer legendary lightning mcqueen suddenly pushed sport love get back game need help eager young race technician plan win inspiration late fabulous hudson hornet unexpected turn proving 95 yet test heart champion piston cup racing biggest stage
32,32,333675,Band of Robbers,Adventure|Comedy|Crime|Thriller,comedic thriller mark twain iconic literary character huckleberry finn tom sawyer grown men current day
36,36,487558,BlacKkKlansman,Comedy|Crime|Drama,colorado spring late 1970s ron stallworth african american police officer flip zimmerman jewish colleague run undercover operation infiltrate ku klux klan
38,38,263109,Shaun the Sheep Movie,Adventure|Animation|Children|Comedy,shaun decides take day fun get little action bargained mix farmer caravan steep hill lead big city shaun flock return everyone safely green grass home
42,42,169644,Stalled,Comedy|Horror,janitor get trapped woman restroom encounter attack horde zombie
44,44,109431,Identity Thief,Comedy|Crime,businessman learns identity stolen hit road attempt foil thief trip put path deceptively woman
45,45,140823,Saving Mr. Banks,Comedy|Drama,author travers look back childhood reluctantly meeting walt disney seek adapt mary poppins book big screen
51,51,371638,The Disaster Artist,Comedy|Drama,aspiring actor hollywood meet enigmatic stranger name tommy wiseau meeting lead actor path nobody could predicted creating worst movie ever made
53,53,383498,Deadpool 2,Action|Comedy|Sci-Fi,wisecracking mercenary deadpool battle evil powerful cable bad guy save boy life
59,59,120467,The Grand Budapest Hotel,Comedy|Drama,grand budapest hotel tell legendary concierge famous european hotel war friendship young employee becomes trusted story involves theft recovery priceless renaissance painting battle enormous family fortune slow sudden upheaval transformed europe first half 20th century
63,63,246741,What We Do in the Shadows,Comedy|Horror,vampire housemate try cope complexity modern life show newly turned hipster perk undead
67,67,269149,Zootopia,Action|Adventure|Animation|Children|Comedy,determined prove officer judy hopps first bunny zootopia police force jump chance crack first case even mean partnering fox nick wilde solve mystery
69,69,127380,Finding Dory,Adventure|Animation|Comedy,dory reunited friend nemo marlin search answer past remember parent learn speak whale
71,71,172385,Rio 2,Adventure|Animation|Children|Comedy,jungle blu jewel three kid hurtled rio de janeiro wild amazon blu try fit go vengeful nigel meet fearsome adversary
75,75,293970,The Final Girls,Comedy|Horror,young woman grieving loss mother famous scream queen 1980s find pulled world mom famous movie reunited woman must fight film maniacal killer
78,78,207703,Kingsman: The Secret Service,Action|Adventure|Comedy|Crime,story spy organization recruit unrefined promising street kid agency training program global threat emerges twisted tech genius
86,86,194662,Birdman or (The Unexpected Virtue of Ignorance),Comedy|Drama,fading actor best known portrayal popular superhero attempt mount comeback appearing broadway play opening night approach attempt become altruistic rebuild career reconnect friend family prove difficult expected
92,92,405177,"Where'd You Go, Bernadette",Comedy|Drama,bernadette fox go missing prior family trip antarctica daughter bee go quest bernadette husband find
96,96,394499,Porta dos Fundos: Contrato Vitalício,Adventure|Comedy,two friend filmmaker miguel actor rodrigo win grand prize jury cannes film festival drinking much rodrigo sign lifetime contract star miguel next film miguel mysteriously disappears come back ten year later proposing make delirious film retelling adventure year gone rodrigo already famous fear risking career alternative comply
107,107,254320,The Lobster,Comedy|Romance|Sci-Fi,dystopian near future single people according law city taken hotel obliged find romantic partner day transformed animal sent wood
111,111,399174,Isle of Dogs,Animation|Comedy,future outbreak canine flu lead mayor japanese city banish dog island used garbage dump outcast must soon embark epic journey boy arrives island find beloved pet
119,119,298312,The Visit,Comedy|Horror,brother sister sent grandparent remote pennsylvania farm week discover elderly couple involved something deeply disturbing
120,120,180296,They Came Together,Comedy|Romance,small business owner lose shop major corporate development
124,124,328111,The Secret Life of Pets,Animation|Comedy,quiet life terrier named max upended owner take duke stray max instantly dislike
128,128,270010,A Hologram for the King,Comedy|Drama,alan clay struggling american businessman travel saudi arabia sell new technology king challenged endless middle eastern bureaucracy perpetually absent monarch suspicious growth back
129,129,233063,Suck Me Shakespeer,Comedy,comedy follows land position school sits spot money one earlier robbery stashed
136,136,505175,Love per Square Foot,Comedy|Romance,individually bank employee sanjay karina earn enough able buy home decide enter marriage convenience
137,137,332835,Piku,Comedy|Drama,taxi driver caught dysfunctional relationship woman father drive kolkata
138,138,84340,Sleepwalk with Me,Comedy|Drama,burgeoning comedian struggle stress stalled career stale relationship wild spurt severe sleepwalking desperate ignore
140,140,208134,Jackass Presents: Bad Grandpa,Comedy,irving zisman journey across america unlikely companion 8 grandson billy
141,141,343668,Kingsman: The Golden Circle,Action|Adventure|Comedy,attack kingsman headquarters take place new villain rise eggsy merlin forced work together american agency known statesman save world
144,144,332210,Storks,Animation|Children|Comedy,stork deliver least used deliver package global internet retail giant junior company top delivery stork promoted accidentally activates baby making machine producing adorable wholly unauthorized baby girl
146,146,257211,The Intern,Comedy,widower ben whittaker discovered retirement cracked seizing opportunity get back game becomes senior intern online fashion site founded run jules ostin
149,149,345914,The House,Comedy,scott kate johansen daughter get college dream cause celebration scott kate learn scholarship counting come hook tuition begin afford help friend neighbor frank also need major payday decide open illegal casino suburban house risking everything together bacchanal money flow inhibition checked door bet
158,158,291270,Anomalisa,Animation|Comedy|Fantasy,inspirational speaker becomes reinvigorated meeting lively woman shake mundane existence
167,167,556803,The Princess Switch,Comedy|Romance,chicago baker princess discover look like twin hatch christmastime plan trade place
168,168,157832,Calvary,Comedy|Drama,threatened confession priest must battle dark force closing around
171,171,109445,Frozen,Adventure|Animation|Comedy|Fantasy|Musical|Romance,young princess anna arendelle dream finding true love sister elsa coronation fate take dangerous journey attempt end eternal winter fallen kingdom accompanied ice delivery man kristoff reindeer sven snowman olaf adventure find friendship courage family true love really mean
176,176,191294,We Are the Best!,Children|Comedy|Drama,three girl 1980s stockholm decide form punk band despite instrument told everyone punk dead
182,182,234200,Pride,Comedy|Drama,1984 group lgbt activist decide raise money support national union mineworker lengthy strike one problem union seems embarrassed receive support
191,191,109513,Hit & Run,Action|Comedy|Romance,former getaway driver charlie bronson jeopardises witness protection plan identity order help girlfriend get los angeles fed charlie former gang chase road
192,192,256591,Focus,Comedy|Crime|Drama|Romance,nicky accomplished con artist get romantically involved disciple jess later end relationship year later return femme fatale spoil plan
196,196,459992,Long Shot,Comedy,journalist fred flarsky reunites childhood crush charlotte field one influential woman world prepares make run presidency charlotte hire fred speechwriter much dismay trusted adviser
202,202,228967,The Interview,Action|Comedy,dave skylark producer aaron rapaport run celebrity tabloid show skylark tonight land interview surprise fan north korean dictator kim recruited cia turn trip pyongyang assassination mission
211,211,159824,Hotel Transylvania 2,Animation|Comedy,vampire vlad arrives hotel impromptu family hotel transylvania collision supernatural modern day cool
