,Unnamed: 0,tmdbId,title,genres,overview
0,0,150540,Inside Out,Adventure|Animation|Children|Comedy|Drama|Fantasy,"From an adventurous balloon ride above the clouds to a monster-filled metropolis, Academy Award®-winning director Pete Docter (“Monsters, Inc.,” “Up”) has taken audiences to unique and imaginative places. In Disney and Pixar’s original movie “ Inside Out,” he will take us to the most extraordinary location of all—inside the mind."
8,8,177572,Big Hero 6,Action|Animation|Comedy,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes."
18,18,308266,War Dogs,Comedy,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan."
19,19,212778,Chef,Comedy,"When Chef Carl Casper suddenly quits his job at a prominent Los Angeles restaurant after refusing to compromise his creative integrity for its controlling owner, he is left to figure out what's next. Finding himself in Miami, he teams up with his ex-wife, his friend and his son to launch a food truck. Taking to the road, Chef Carl goes back to his roots to reignite his passion for the kitchen -- and zest for life and love."
27,27,295699,Everybody Wants Some!!,Comedy,A comedy that follows a group of friends as they navigate their way through the freedoms and responsibilities of unsupervised adulthood.
29,29,260514,Cars 3,Adventure|Animation|Comedy,"Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!"
32,32,333675,Band of Robbers,Adventure|Comedy|Crime|Thriller,"A comedic thriller that re-imagines Mark Twain's iconic literary characters of ""Huckleberry Finn"" and ""Tom Sawyer"" as grown men in current day."
36,36,487558,BlacKkKlansman,Comedy|Crime|Drama,"Colorado Springs, late 1970s. Ron Stallworth, an African American police officer, and Flip Zimmerman, his Jewish colleague, run an undercover operation to infiltrate the Ku Klux Klan."
38,38,263109,Shaun the Sheep Movie,Adventure|Animation|Children|Comedy,"When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home."
42,42,169644,Stalled,Comedy|Horror,A janitor gets trapped in a women's restroom and encounters an all-out attack by a horde of zombies.
44,44,109431,Identity Thief,Comedy|Crime,"When a mild-mannered businessman learns his identity has been stolen, he hits the road in an attempt to foil the thief -- a trip that puts him in the path of a deceptively harmless-looking woman."
45,45,140823,Saving Mr. Banks,Comedy|Drama,"Author P.L. Travers looks back on her childhood while reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen."
51,51,371638,The Disaster Artist,Comedy|Drama,"An aspiring actor in Hollywood meets an enigmatic stranger by the name of Tommy Wiseau, the meeting leads the actor down a path nobody could have predicted; creating the worst movie ever made."
53,53,383498,Deadpool 2,Action|Comedy|Sci-Fi,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.
59,59,120467,The Grand Budapest Hotel,Comedy|Drama,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century."
63,63,246741,What We Do in the Shadows,Comedy|Horror,Vampire housemates try to cope with the complexities of modern life and show a newly turned hipster some of the perks of being undead.
67,67,269149,Zootopia,Action|Adventure|Animation|Children|Comedy,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery."
69,69,127380,Finding Dory,Adventure|Animation|Comedy,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?
71,71,172385,Rio 2,Adventure|Animation|Children|Comedy,"It's a jungle out there for Blu, Jewel and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel, and meets the most fearsome adversary of all: his father-in-law."
75,75,293970,The Final Girls,Comedy|Horror,"A young woman grieving the loss of her mother, a famous scream queen from the 1980s, finds herself pulled into the world of her mom's most famous movie. Reunited, the women must fight off the film's maniacal killer."
78,78,207703,Kingsman: The Secret Service,Action|Adventure|Comedy|Crime,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.
86,86,194662,Birdman or (The Unexpected Virtue of Ignorance),Comedy|Drama,"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected."
92,92,405177,"Where'd You Go, Bernadette",Comedy|Drama,"When architect-turned-recluse Bernadette Fox goes missing prior to a family trip to Antarctica, her 15-year-old daughter Bee goes on a quest with Bernadette's husband to find her."
96,96,394499,Porta dos Fundos: Contrato Vitalício,Adventure|Comedy,"Two friends, filmmaker Miguel and actor Rodrigo, win the grand prize of the jury at the Cannes Film Festival. After drinking too much, Rodrigo signs a lifetime contract to star in Miguel's next film. Miguel mysteriously disappears and comes back ten years later proposing to make a delirious film retelling his adventure in the years he'd been gone. Rodrigo is already famous and fears risking his career, but he has no alternative but to comply."
107,107,254320,The Lobster,Comedy|Romance|Sci-Fi,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into animals and sent off into The Woods."
111,111,399174,Isle of Dogs,Animation|Comedy,"In the future, an outbreak of canine flu leads the mayor of a Japanese city to banish all dogs to an island used as a garbage dump. The outcasts must soon embark on an epic journey when a 12-year-old boy arrives on the island to find his beloved pet."
119,119,298312,The Visit,Comedy|Horror,"A brother and sister are sent to their grandparents' remote Pennsylvania farm for a week, where they discover that the elderly couple is involved in something deeply disturbing."
120,120,180296,They Came Together,Comedy|Romance,A small business owner is about to lose her shop to a major corporate development.
124,124,328111,The Secret Life of Pets,Animation|Comedy,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
128,128,270010,A Hologram for the King,Comedy|Drama,"Alan Clay, a struggling American businessman, travels to Saudi Arabia to sell a new technology to the King, only to be challenged by endless Middle Eastern bureaucracy, a perpetually absent monarch, and a suspicious growth on his back."
129,129,233063,Suck Me Shakespeer,Comedy,A comedy that follows an ex-con who lands a position at a school that sits over the spot where money from one of his earlier robberies was stashed.
136,136,505175,Love per Square Foot,Comedy|Romance,"Individually, bank employees Sanjay and Karina don't earn enough to be able to buy a home, so they decide to enter into a marriage of convenience."
137,137,332835,Piku,Comedy|Drama,A taxi driver is caught between a dysfunctional relationship between a woman and her father as he drives them to Kolkata.
138,138,84340,Sleepwalk with Me,Comedy|Drama,"A burgeoning stand-up comedian struggles with the stress of a stalled career, a stale relationship, and the wild spurts of severe sleepwalking he is desperate to ignore."
140,140,208134,Jackass Presents: Bad Grandpa,Comedy,"86-year-old Irving Zisman is on a journey across America with the most unlikely companion: his 8 year-old grandson, Billy."
141,141,343668,Kingsman: The Golden Circle,Action|Adventure|Comedy,"When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world."
144,144,332210,Storks,Animation|Children|Comedy,"Storks deliver babies…or at least they used to. Now they deliver packages for a global internet retail giant. Junior, the company’s top delivery stork, is about to be promoted when he accidentally activates the Baby Making Machine, producing an adorable and wholly unauthorized baby girl..."
146,146,257211,The Intern,Comedy,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin."
149,149,345914,The House,Comedy,"When Scott and Kate Johansen’s daughter gets into the college of her dreams it’s cause for celebration. That is, until Scott and Kate learn that the scholarship they were counting on didn’t come through, and they’re now on the hook for tuition they can’t begin to afford. With the help of their friend and neighbor Frank also in need of a major payday they decide to open an illegal casino in his suburban house, risking everything together on a Vegas-style bacchanal where money flows, inhibitions are checked at the door, and all bets are off."
158,158,291270,Anomalisa,Animation|Comedy|Fantasy,An inspirational speaker becomes reinvigorated after meeting a lively woman who shakes up his mundane existence.
167,167,556803,The Princess Switch,Comedy|Romance,"When a down-to-earth Chicago baker and a soon-to-be princess discover they look like twins, they hatch a Christmastime plan to trade places."
168,168,157832,Calvary,Comedy|Drama,"After being threatened during a confession, a good-natured priest must battle the dark forces closing in around him."
171,171,109445,Frozen,Adventure|Animation|Comedy|Fantasy|Musical|Romance,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means."
176,176,191294,We Are the Best!,Children|Comedy|Drama,Three girls in 1980s Stockholm decide to form a punk band — despite not having any instruments and being told by everyone that punk is dead.
