Unnamed: 0,tmdbId,title,genres
0,150540,Inside Out (2015),Adventure|Animation|Children|Comedy|Drama|Fantasy
1,393732,Mean Dreams (2017),Thriller
2,271110,Captain America: Civil War (2016),Action|Sci-Fi|Thriller
3,278927,The Jungle Book (2016),Adventure|Drama|Fantasy
4,440021,Happy Death Day (2017),Horror|Mystery|Thriller
5,286217,The Martian (2015),Adventure|Drama|Sci-Fi
6,334533,Captain Fantastic (2016),Drama
7,242582,Nightcrawler (2014),Crime|Drama|Thriller
8,177572,Big Hero 6 (2014),Action|Animation|Comedy
9,353486,Jumanji: Welcome to the Jungle (2017),Action|Adventure|Children
10,241259,Alice Through the Looking Glass (2016),Adventure|Children|Fantasy
11,329865,Arrival (2016),Sci-Fi
12,106747,Machete Kills (Machete 2) (2013),Action|Crime|Thriller
13,300671,13 Hours (2016),Drama
15,424783,Bumblebee (2018),Action|Adventure|Sci-Fi
16,227679,Pokémon the Movie: Genesect and the Legend Awakened (2013),Action|Adventure|Animation|Children|Fantasy|Sci-Fi
17,529483,Encounter (2018),Sci-Fi
18,308266,War Dogs (2016),Comedy
19,212778,Chef (2014),Comedy
20,373072,Tickled (2016),Documentary
21,241257,Regression (2015),Thriller
22,228150,Fury (2014),Action|Drama|War
23,359940,"Three Billboards Outside Ebbing, Missouri (2017)",Crime|Drama
24,284293,Still Alice (2014),Drama
25,335988,Transformers: The Last Knight (2017),Action|Adventure|Sci-Fi|Thriller
26,205596,The Imitation Game (2014),Drama|Thriller|War
27,295699,Everybody Wants Some (2016),Comedy
28,209112,Batman v Superman: Dawn of Justice (2016),Action|Adventure|Fantasy|Sci-Fi
29,260514,Cars 3 (2017),Adventure|Animation|Comedy
30,296096,Me Before You (2016),Drama|Romance
31,318121,The Fundamentals of Caring (2016),Drama
32,333675,Band of Robbers (2016),Adventure|Comedy|Crime|Thriller
33,152760,"Monuments Men, The (2014)",Action|Drama|War
34,345940,The Meg (2018),Action|Horror|Sci-Fi|Thriller
35,263115,Logan (2017),Action|Sci-Fi
36,487558,BlacKkKlansman (2018),Comedy|Crime|Drama
37,244267,I Origins (2014),Drama|Sci-Fi
38,263109,Shaun the Sheep Movie (2015),Adventure|Animation|Children|Comedy
39,273271,Time Lapse (2014),Crime|Drama|Sci-Fi|Thriller
40,253412,Everest (2015),Adventure|Drama|Thriller
41,245891,John Wick (2014),Action|Thriller
42,169644,Stalled (2013),Comedy|Horror
43,321697,Steve Jobs (2015),Drama
44,109431,Identity Thief (2013),Comedy|Crime
45,140823,Saving Mr. Banks (2013),Comedy|Drama
46,118340,Guardians of the Galaxy (2014),Action|Adventure|Sci-Fi
47,320004,Nobody Wants the Night (2015),Drama
48,84334,Searching for Sugar Man (2012),Documentary
49,293310,Citizenfour (2014),Documentary
51,371638,The Disaster Artist (2017),Comedy|Drama
52,295592,Monkey Kingdom (2015),Documentary
53,383498,Deadpool 2 (2018),Action|Comedy|Sci-Fi
54,102362,Dead Man Down (2013),Action|Crime|Drama|Romance|Thriller
55,122906,About Time (2013),Drama|Fantasy|Romance
56,296098,Bridge of Spies (2015),Drama|Thriller
57,64199,The Nude (2001),Drama|Romance
58,375572,Veloce come il vento (2016),Drama
59,120467,"Grand Budapest Hotel, The (2014)",Comedy|Drama
60,369557,Sing Street (2016),Drama
62,122917,The Hobbit: The Battle of the Five Armies (2014),Adventure|Fantasy
63,246741,What We Do in the Shadows (2014),Comedy|Horror
65,209504,Bounty Killer (2013),Action|Sci-Fi|Thriller
66,128061,The Deflowering of Eva van End (2012),Drama
67,269149,Zootopia (2016),Action|Adventure|Animation|Children|Comedy
69,127380,Finding Dory (2016),Adventure|Animation|Comedy
70,117251,White House Down (2013),Action|Drama|Thriller|IMAX
71,172385,Rio 2 (2014),Adventure|Animation|Children|Comedy
72,399055,The Shape of Water (2017),Adventure|Drama|Fantasy
73,302946,The Accountant (2016),Crime|Drama|Thriller
74,140607,Star Wars: Episode VII - The Force Awakens (2015),Action|Adventure|Fantasy|Sci-Fi|IMAX
75,293970,The Final Girls (2015),Comedy|Horror
76,276907,Legend (2015),Crime|Thriller
77,515042,Free Solo (2018),Documentary
78,207703,Kingsman: The Secret Service (2015),Action|Adventure|Comedy|Crime
80,478260,Hyper Hamster (2018),Children|Fantasy
81,84175,Beasts of the Southern Wild (2012),Drama|Fantasy
83,354912,Coco (2017),Adventure|Animation|Children
85,330459,Rogue One: A Star Wars Story (2016),Action|Adventure|Fantasy|Sci-Fi
86,194662,Birdman: Or (The Unexpected Virtue of Ignorance) (2014),Comedy|Drama
87,293167,Kong: Skull Island (2017),Action|Adventure|Fantasy
88,270303,It Follows (2014),Horror
89,240832,Lucy (2014),Action|Sci-Fi
91,259316,Fantastic Beasts and Where to Find Them (2016),Fantasy
92,405177,"Where'd You Go, Bernadette (2019)",Comedy|Drama
93,286192,Lava (2015),Animation|Children
94,324552,John Wick: Chapter Two (2017),Action|Crime|Thriller
95,466175,Killing Jesus (2018),Crime|Drama
96,394499,Contrato Vitalício (2016),Adventure|Comedy
97,374473,"I, Daniel Blake (2016)",Drama
98,266856,The Theory of Everything (2014),Drama|Romance
99,323272,War Room (2015),Drama
100,290382,Roger Waters the Wall (2015),Documentary
101,115782,Jobs (2013),Drama
102,328387,Nerve (2016),Drama|Thriller
107,254320,The Lobster (2015),Comedy|Romance|Sci-Fi
108,173897,Resident Evil: The Final Chapter (2017),Action|Horror|Sci-Fi
109,484247,A Simple Favor (2018),Crime|Mystery|Thriller
110,396806,Anon (2018),Sci-Fi|Thriller
111,399174,Isle of Dogs (2018),Animation|Comedy
113,250734,Far from the Madding Crowd (2015),Drama
114,283995,Guardians of the Galaxy 2 (2017),Action|Adventure|Sci-Fi
115,244786,Whiplash (2014),Drama
119,298312,"Visit, The (2015)",Comedy|Horror
120,180296,They Came Together (2014),Comedy|Romance
122,339403,Baby Driver (2017),Action|Crime|Thriller
124,328111,The Secret Life of Pets (2016),Animation|Comedy
125,119450,Dawn of the Planet of the Apes (2014),Sci-Fi
126,396535,Train to Busan (2016),Action|Thriller
127,262500,Insurgent (2015),Action|Sci-Fi|Thriller
128,270010,A Hologram for the King (2015),Comedy|Drama
129,233063,"Fuck You, Goethe (Fack Ju Göhte) (2013)",Comedy
131,109421,Side Effects (2013),Crime|Drama|Mystery|Thriller
134,132344,Before Midnight (2013),Drama|Romance
135,242095,"Signal, The (2014)",Sci-Fi|Thriller
136,505175,Love Per Square Foot (2018),Comedy|Romance
137,332835,Piku (2015),Comedy|Drama
138,84340,Sleepwalk with Me (2012),Comedy|Drama
139,336808,Embrace of the Serpent (2016),Adventure|Drama
140,208134,Jackass Presents: Bad Grandpa (2013),Comedy
141,343668,Kingsman: The Golden Circle (2017),Action|Adventure|Comedy
142,168259,Furious 7 (2015),Action|Crime|Thriller
143,188927,Star Trek Beyond (2016),Action|Adventure|Sci-Fi
144,332210,Storks (2016),Animation|Children|Comedy
146,257211,The Intern (2015),Comedy
149,345914,The House (2017),Comedy
150,190859,American Sniper (2014),Action|War
151,181808,Star Wars: The Last Jedi (2017),Action|Adventure|Fantasy|Sci-Fi
152,243683,Step Up All In (2014),Drama|Musical|Romance
154,517987,Friend (2018),Drama
